speed_arr[510], 0x00000D09,
speed_arr[511], 0x00000D0A,
speed_arr[512], 0x00000D0B,
speed_arr[513], 0x00000D0C,
speed_arr[514], 0x00000D0D,
speed_arr[515], 0x00000D0F,
speed_arr[516], 0x00000D11,
speed_arr[517], 0x00000D12,
speed_arr[518], 0x00000D14,
speed_arr[519], 0x00000D15,
speed_arr[520], 0x00000D16,
speed_arr[521], 0x00000D17,
speed_arr[522], 0x00000D18,
speed_arr[523], 0x00000D18,
speed_arr[524], 0x00000D18,
speed_arr[525], 0x00000D18,
speed_arr[526], 0x00000D18,
speed_arr[527], 0x00000D18,
speed_arr[528], 0x00000D18,
speed_arr[529], 0x00000D18,
speed_arr[530], 0x00000D18,
speed_arr[531], 0x00000D19,
speed_arr[532], 0x00000D19,
speed_arr[533], 0x00000D19,
speed_arr[534], 0x00000D1A,
speed_arr[535], 0x00000D1A,
speed_arr[536], 0x00000D1A,
speed_arr[537], 0x00000D19,
speed_arr[538], 0x00000D19,
speed_arr[539], 0x00000D18,
speed_arr[540], 0x00000D18,
speed_arr[541], 0x00000D17,
speed_arr[542], 0x00000D17,
speed_arr[543], 0x00000D16,
speed_arr[544], 0x00000D16,
speed_arr[545], 0x00000D16,
speed_arr[546], 0x00000D16,
speed_arr[547], 0x00000D16,
speed_arr[548], 0x00000D16,
speed_arr[549], 0x00000D16,
speed_arr[550], 0x00000D16,
speed_arr[551], 0x00000D17,
speed_arr[552], 0x00000D17,
speed_arr[553], 0x00000D17,
speed_arr[554], 0x00000D17,
speed_arr[555], 0x00000D17,
speed_arr[556], 0x00000D17,
speed_arr[557], 0x00000D16,
speed_arr[558], 0x00000D16,
speed_arr[559], 0x00000D15,
speed_arr[560], 0x00000D15,
speed_arr[561], 0x00000D14,
speed_arr[562], 0x00000D13,
speed_arr[563], 0x00000D13,
speed_arr[564], 0x00000D12,
speed_arr[565], 0x00000D12,
speed_arr[566], 0x00000D12,
speed_arr[567], 0x00000D12,
speed_arr[568], 0x00000D12,
speed_arr[569], 0x00000D12,
speed_arr[570], 0x00000D12,
speed_arr[571], 0x00000D12,
speed_arr[572], 0x00000D12,
speed_arr[573], 0x00000D12,
speed_arr[574], 0x00000D12,
speed_arr[575], 0x00000D12,
speed_arr[576], 0x00000D12,
speed_arr[577], 0x00000D11,
speed_arr[578], 0x00000D10,
speed_arr[579], 0x00000D10,
speed_arr[580], 0x00000D0F,
speed_arr[581], 0x00000D0F,
speed_arr[582], 0x00000D0E,
speed_arr[583], 0x00000D0E,
speed_arr[584], 0x00000D0E,
speed_arr[585], 0x00000D0E,
speed_arr[586], 0x00000D0E,
speed_arr[587], 0x00000D0E,
speed_arr[588], 0x00000D0E,
speed_arr[589], 0x00000D0F,
speed_arr[590], 0x00000D0F,
speed_arr[591], 0x00000D0F,
speed_arr[592], 0x00000D0F,
speed_arr[593], 0x00000D0F,
speed_arr[594], 0x00000D0F,
speed_arr[595], 0x00000D0E,
speed_arr[596], 0x00000D0E,
speed_arr[597], 0x00000D0D,
speed_arr[598], 0x00000D0D,
speed_arr[599], 0x00000D0C,
speed_arr[600], 0x00000D0C,
speed_arr[601], 0x00000D0C,
speed_arr[602], 0x00000D0D,
speed_arr[603], 0x00000D0E,
speed_arr[604], 0x00000D0F,
speed_arr[605], 0x00000D11,
